Irrigation,Rainfall,Crop_Banana,Crop_Rice,Crop_Sugarcane,SoilType_Black Cotton,SoilType_Red Loamy
-0.17507322,-0.46005216,0.12751275,0.0134960525,0.590169,0.18818466,-0.57666916
0.0026037104,-0.3758621,-0.006893556,-0.47218075,0.2867065,0.109159574,0.27417588
-0.100478575,-0.38351607,0.07223014,-0.30574405,0.16174822,0.35171294,0.25185394
0.018252922,-0.5694764,-0.17506668,-0.29088736,0.6001505,0.22722788,-0.04394422
-0.16492079,-0.17799018,-0.5872719,-0.042968456,0.45035398,-0.09696976,-0.09476054
-0.20703019,0.019864542,-0.40569136,-0.32470536,0.33853957,0.19963697,0.053531226
-0.069075085,-0.30701312,-0.65246916,0.107860595,0.73267937,0.2516428,-0.05496718
0.22395477,-0.02235065,0.26839465,0.2479917,0.4354378,0.21947177,0.013684842
0.13690376,-0.30309704,0.05810296,-0.5343731,0.77170277,0.3876825,-0.051028293
0.07786223,-0.17240147,0.3441033,0.33282635,0.2548547,0.3510011,-0.12705858
-0.25235972,-0.66422445,0.10078552,-0.3348112,0.5113105,0.49526793,0.079407856
-0.08796341,-0.29552543,-0.14616944,0.4206643,0.52394575,0.48312426,-0.063288815
-0.013222787,-0.4884817,-0.28086463,0.19833563,0.60815454,0.5345038,0.25602633
0.15396021,-0.120279826,-0.10776245,-0.059767623,0.493133,0.532846,-0.19904025
0.0124596525,-0.31087634,-0.4001403,-0.318691,0.31875348,0.39478818,-0.03552283
-0.06631761,-0.26678404,0.3011923,0.28536204,0.6105248,0.30063608,-0.32737967
-0.40773597,-0.19478615,-0.31432214,0.30030265,0.108343184,0.27310655,-0.34045753
-0.40427005,-0.5722988,-0.5535811,-0.46989858,0.369459,-0.0036725437,-0.040671308
-0.04876068,-0.012471593,0.152739,0.0136263035,0.38722482,0.0644163,-0.1980921
0.23780566,-0.41535532,-0.10384725,0.4523533,0.24955434,0.312522,0.03728683
0.061842944,-0.36664674,-0.11482853,-0.2724287,0.09677796,0.19249901,0.42191595
